"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","shrunkenLog2FoldChange"
"NQO1",62.4055684117528,-1.61588498547999,0.237553144123854,-6.80220416126135,1.03030442991596e-11,3.67190873897438e-10,-1.56968782473479
"NUCB2",89.6411324701734,-1.51991568029093,0.22354365625711,-6.79918949944522,1.0520935501333e-11,3.74161913824949e-10,-1.47089342764295
"SEC61B",3.69924630873444,-3.62638601791333,0.533760135474396,-6.794036828341,1.09038530735945e-11,3.86959995123378e-10,-3.33512806931798
"PUF60",14.3874526136552,-2.17627928971828,0.320467259488174,-6.79095672111424,1.11392341491599e-11,3.94479292041767e-10,-2.09422923031101
"YIF1B",6.45912399918991,-2.2825008019457,0.336593972721938,-6.7811695601314,1.19206867607612e-11,4.21264522033972e-10,-2.17458070249433
"TMEM190",3.60424410411293,-3.46687361847698,0.511281549437178,-6.78075244900453,1.1955157520306e-11,4.21595113730792e-10,-3.27095387703048
"LRRC46",22.6969480829107,-2.11093872458457,0.311543284181084,-6.77574780702892,1.2376440658543e-11,4.35536546948225e-10,-2.03375172934127
"WDR38",31.4375616121708,-2.08269210653202,0.307469578379699,-6.77365259193243,1.25570999335153e-11,4.40969622351439e-10,-2.01082530061461
"RPS11",295.880668071703,-1.3972343605825,0.206419398746053,-6.76891013669429,1.29756100738952e-11,4.54715220668902e-10,-1.35675847350697
"DVL1",6.50904951911925,-2.49044985141566,0.368056734030652,-6.76648359110923,1.31949996443496e-11,4.61440133395944e-10,-2.39279813447301
"TXN",43.10565567135,-1.40220685438513,0.207354307317722,-6.76237148156552,1.35751084407362e-11,4.73745884170891e-10,-1.35593563927365
"RPL29",39.2432034973761,-2.05006449452289,0.303463111106257,-6.75556408503655,1.42280600606022e-11,4.95502523189354e-10,-1.97220147121739
"TCTEX1D4",4.7307820209664,-3.84500196874307,0.570233030537598,-6.74286083553969,1.5529794336581e-11,5.39716620566974e-10,-3.70110212822962
"RNF213",781.035943288108,1.7283656972604,0.256397630855853,6.74095814181717,1.57345536734099e-11,5.4570292967326e-10,1.66877589102867
"FDXR",2.45764716135896,-3.30313460787759,0.490132909262279,-6.73926305591127,1.59191964574538e-11,5.50968312855297e-10,-3.20364806367068
"AAMP",6.7911156378055,-2.55375713597901,0.378981089009168,-6.7384817080338,1.60050201924722e-11,5.5279890730625e-10,-2.45587776854581
"MBTPS1",25.8192888154888,-1.73096915159221,0.257026655187373,-6.73459003826016,1.64392779623682e-11,5.66631868329184e-10,-1.67362864117965
"PRMT2",17.2093337428276,-1.86687916916076,0.277271706550318,-6.73303162586467,1.66163926893238e-11,5.71563048530715e-10,-1.7981995167043
"NDUFS5",11.0923550157387,-1.81353245938865,0.269448137128026,-6.73054369096257,1.69030282724669e-11,5.8023360446141e-10,-1.74503398274527
"SRI",25.4922462839196,-1.63092226628885,0.242331708535012,-6.73012325191946,1.69519430719302e-11,5.80725135521266e-10,-1.57322447204201
"CTSH",30.1830079075021,-2.15239878265527,0.319842977915952,-6.72954834487839,1.70190534379091e-11,5.81836723032062e-10,-2.07305555279438
"USP18",36.1621018167643,2.0976901963314,0.312067943863468,6.72190219335424,1.79367343795262e-11,6.11963461981151e-10,2.01554269165044
"SUCNR1",3.82033738445535,3.48571797155137,0.519157495030768,6.71418212183335,1.89123978938789e-11,6.43942213076372e-10,3.98559617490595
