"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ATP6V0D1",34.0636142313142,-0.268603843500642,0.164658797549171,-1.63127538581976,0.102832224680902,0.269227593373507
"HS2ST1",8.34066802140493,-0.353041058166968,0.21644526096636,-1.63108703138498,0.102871956726716,0.269227593373507
"PCYT2",7.53489302301249,-0.396187855209625,0.242894817695411,-1.6311087200981,0.102867381023022,0.269227593373507
"DHX29",20.5219551399536,-0.266009771548112,0.163135027196398,-1.63061101052114,0.102972424406675,0.269437406184547
"NAIPP1",6.64927192574918,-0.427622872393605,0.262263241480059,-1.63051013165381,0.102993725645329,0.269440030393398
"ZSCAN5A",6.69129043763483,-0.389538011677893,0.238927217891894,-1.63036264815231,0.103024874066318,0.269468409528335
"LSM11",3.51605902567224,-0.495254665370672,0.303845970641083,-1.62995304603098,0.103111421065409,0.269641647600913
"LONRF2",6.35071773196764,-0.395065168097516,0.242425138994152,-1.62963779142989,0.103178072240052,0.269762799077102
"CFAP20",7.7156292868983,-0.342086608472791,0.209951698758294,-1.6293586119854,0.10323712499543,0.269800507004405
"DOCK1",23.4378728691019,-0.247633616266496,0.151979529560451,-1.62938796417314,0.103230915081259,0.269800507004405
"HSBP1L1",3.15273799462197,0.439919197572271,0.270017256638767,1.62922623186562,0.103265135769658,0.269800507004405
"MSL3",13.174722608313,-0.301859965256858,0.185287171235451,-1.62914660116039,0.103281988020357,0.269800507004405
"TAF10",20.5749562050643,-0.29359948515073,0.180223079432564,-1.62908927133602,0.103294122088021,0.269800507004405
"RFXANK",3.06906953196027,-0.519900260310198,0.319179484140974,-1.62886490561709,0.10334162081298,0.269871468556266
"LDB3",2.71248981717683,-0.56596337414045,0.347509204649133,-1.62862844082614,0.103391699730413,0.269949138910602
"DNAJC24",7.65056195511669,-0.39704416892178,0.243861099582207,-1.62815705170694,0.10349158888359,0.270103686755951
"TUBB6",4.5193963035359,-0.503790891510897,0.309410085781733,-1.62823034755979,0.103476052178178,0.270103686755951
"ZNF568",9.16475987593527,-0.33809651061856,0.207669099636732,-1.62805401097216,0.103513433821734,0.270107592008984
"BUB1B",2.23374146722574,-0.583923746587591,0.358787669352061,-1.62749112209487,0.103632832620172,0.270366002397832
"TSFM",2.93161785885935,-0.57671613042098,0.354473522665513,-1.62696532616677,0.103744462191144,0.270604046202642
"LINC00869",10.7435897844578,-0.37998183303429,0.233596311161495,-1.62666024623819,0.103809276249921,0.27071990823997
"GIGYF2",54.803097373286,-0.213473862013621,0.131297975222579,-1.62587322197266,0.10397662768877,0.271103075219158
"MT-CO3",4987.47976851259,0.0613912391354528,0.0377622571065353,1.62573012948498,0.104007077636955,0.271129212205997
"GPR34",2.95811912450986,-0.50784459279207,0.312444721639752,-1.62539021343306,0.104079439861352,0.271264575833416
"CDA",2.26220833445629,-0.832894705102419,0.51252464400775,-1.62508225670769,0.104145033027438,0.271275739483166
"GTF2IP20",15.8280764315361,-0.335684077803526,0.206558621701889,-1.62512740953507,0.104135413658264,0.271275739483166
"MRPL19",28.8691766955049,-0.251347142145507,0.154659545878467,-1.62516410298409,0.104127596996952,0.271275739483166
"TMEM245",25.9658821901018,-0.279249018754934,0.171879639534476,-1.62467770767533,0.104231249747461,0.271447049077457
"KIF4A",2.42404065993703,-0.579825980762785,0.35692017969931,-1.62452563273745,0.104263674327139,0.271478229309229
"KIAA1841",26.4703854495225,-0.267467053043007,0.164663931848813,-1.62432082144488,0.104307355722283,0.271538701678286
"MTMR10",32.3219261309217,-0.264176957808015,0.162669809910917,-1.62400729399442,0.104374251852981,0.271606360448102
"USP6NL",31.5772684239274,-0.278796351978241,0.171671867901801,-1.62400721437782,0.104374268844792,0.271606360448102
"ELOA",31.1716872810316,-0.26099271651751,0.160753768426696,-1.62355582125294,0.104470640688964,0.271759931779353
"FH",7.3679659150978,-0.331836988890458,0.204391139277273,-1.62353901477253,0.104474230214708,0.271759931779353
"ORC4",185.696148258663,-0.241125426281736,0.14855329101536,-1.62315775459195,0.104555686027507,0.271918529845048
"PARD3B",18.1190276521799,-0.303856336754753,0.187280726099479,-1.62246453803982,0.104703920175876,0.272197382768229
"UBE3B",19.5929832938929,-0.301999306197703,0.186135728153248,-1.62246823430408,0.104703129341952,0.272197382768229
"CEP57",21.614156911444,-0.282172296708387,0.173938147928138,-1.62225653239085,0.104748431651497,0.272217322477471
"CYREN",10.87549616103,-0.407927553181941,0.251485468998558,-1.62207206168353,0.104787919414611,0.272217322477471
"FUT6",5.20003488273983,-0.464340891005825,0.286251302146281,-1.62214420519399,0.104772474982062,0.272217322477471
"NAE1",12.7626394868834,-0.291101569513733,0.179476128093723,-1.62195146845222,0.10481373996555,0.272217322477471
"RTRAF",17.0078677771853,-0.288328074486142,0.177766352590317,-1.62194965630322,0.104814128008314,0.272217322477471
"ACOT2",2.99027525803299,-0.536376505772757,0.330836151334047,-1.62127537637559,0.104958593468517,0.272539195950918
"CNPY3",10.5762432998049,-0.362555843662895,0.223663210412819,-1.62099007250106,0.105019767809487,0.272610138656404
"SFMBT2",25.4886895145069,-0.345645014979835,0.213235232047951,-1.62095640415609,0.105026988781743,0.272610138656404
"ATF6",35.755913395663,-0.278228631074368,0.171690544517368,-1.6205239016306,0.10511978422206,0.272797657040787
"DNAJB6",35.1376061594892,-0.261186756366509,0.161209094509193,-1.62017383176614,0.105194940990514,0.272939336729492
"TOGARAM2",41.743499482767,-0.32172618498925,0.198609874375977,-1.61989017917714,0.105255869854201,0.273044052461337
"AAR2",8.10762505653313,-0.364294023757441,0.224920598775281,-1.61965611749687,0.105306167626938,0.273110859228368
"LEPR",2.25693106884779,0.522694350079036,0.322734731724391,1.6195788636886,0.105322772968963,0.273110859228368
"FBXO41",4.06029680023586,-0.511870639124625,0.316101803069739,-1.61932211127469,0.10537797561909,0.273200634446836
"UBA7",16.9512562627301,0.350240503060035,0.21633339428518,1.61898492009206,0.105450507752156,0.273335293868798
"SRCIN1",7.10409306291425,-0.422363446633903,0.260960157987799,-1.61849781932478,0.105555356400756,0.273553651086223
"ZSWIM6",45.9066524077149,-0.27261555890036,0.168463792164703,-1.61824422564245,0.105609975279023,0.273641774712815
"HERC2P5",8.96715425104901,-0.38406844800747,0.237375878228486,-1.61797589070017,0.105667793534055,0.273684739779717
"KLHL29",2.5906235004852,-0.567340277084503,0.350642892267901,-1.61800022072325,0.105662550097688,0.273684739779717
"DUX4L19",2.21713142202754,-0.960733880934103,0.593863231788813,-1.6177695966127,0.105712260888088,0.273709148973889
"ZMAT2",22.2345973313595,-0.272746607826543,0.168597218253744,-1.61774085392116,0.105718457645708,0.273709148973889
"METTL23",5.471286487344,-0.430100046557605,0.265919975554837,-1.6174040542092,0.105791091182907,0.273843787902087
"CXorf56",5.23388286009152,-0.374781618140699,0.231792060607345,-1.6168872098496,0.105902629753052,0.274079061677131
"GHDC",2.15262389155978,-0.631869176286455,0.390842071827369,-1.61668669222884,0.105945927939664,0.274137670072339
"FAP",2.37884075873482,-0.919830708737841,0.56909737729047,-1.61629757128253,0.106029991691615,0.274296115751209
"RETSAT",5.70320225759805,-0.386723720628327,0.239277846458962,-1.61621197428594,0.106048490736417,0.274296115751209
"B4GALT3",4.55155160898613,-0.39615520458954,0.245147798049603,-1.61598516381282,0.106097520920342,0.27436947062081
"CBWD6",5.22248433678136,-0.416277331381864,0.2576278017122,-1.61580904163012,0.10613560608778,0.274386497602539
"GSG1",8.06088912839257,-0.401425550050626,0.248443252970026,-1.61576354057422,0.106145447128902,0.274386497602539
"ZNF248",6.04114171546139,-0.434389018815457,0.268881988305533,-1.61553781104094,0.106194278972111,0.274459279415071
"TMBIM6",169.009342485631,-0.207440313172189,0.128434276333504,-1.61514759995634,0.106278734953197,0.274624085608085
"HMGN2",48.4502752265267,-0.238000899406202,0.147410233399156,-1.61454801283535,0.106408611354525,0.27490617110159
"PTOV1",9.60969391976477,-0.397753514030949,0.246388873241161,-1.61433229024768,0.106455369730968,0.274973453553
"ZBTB9",3.75310782293122,0.449817121629827,0.278781858345137,1.61350930186047,0.106633904008707,0.275381019807699
"LRCH4",87.5358882692599,0.395510524402657,0.245157302363124,1.61329285560841,0.106680897983063,0.275448792030185
"SELENOT",29.9756025717694,-0.267581435729658,0.165874261441198,-1.61315826460825,0.106710128137015,0.275470680842228
